question_id,doc_id,question,answer,question_type,gold_node_ids,gold_pages,gold_modalities,evidence_note
FIN001,金融类,Microsoft、Apple 和 NVIDIA 的市值规模分别是多少？从表格数据来看，哪家公司在资本市场中的规模最大？,NVIDIA 在 2025 年披露的非关联股东市值约为 4.0 万亿美元，Apple 在 2024 年约为 2.63 万亿美元，Microsoft 也处于全球最高市值公司行列。三家公司均属于超大市值科技公司，其中 NVIDIA 披露值最高。,表格 + 财务披露,,,table;text,原编号：Q001；证据位置：NVIDIA 封面 Market Value；Apple 封面 Market Value；Microsoft 股票信息；证据链说明：需要分别读取三家公司 Form 10-K 首页中的 market value 数据后进行对比。
FIN002,金融类,Microsoft、Apple 和 NVIDIA 的股票代码分别是什么？这些公司在哪个证券交易所上市？,NVIDIA 使用 NVDA，Microsoft 使用 MSFT，Apple 使用 AAPL，三家公司均在 Nasdaq 上市。,表格 + 注册信息,,,table,原编号：Q002；证据位置：三家公司 Form 10-K 首页 Securities registered；证据链说明：需要跨三个文档提取证券注册表格中的股票代码与交易所信息。
FIN003,金融类,Apple 与 Microsoft 在股东回报方面分别采用了哪些方式？请结合表格中的回购计划分析。,Microsoft 明确披露了 600 亿美元股票回购计划，并持续进行股份回购；Apple 长期通过股票回购与分红回馈股东。两家公司均通过资本回报稳定投资者预期。,表格 + 财务文本,,,table;text,原编号：Q003；证据位置：Microsoft Share Repurchase 表；Apple Equity Securities；证据链说明：结合 Microsoft 的回购金额表和 Apple 的股东权益相关披露分析。
FIN004,金融类,Apple 与 Microsoft 的业务划分方式有什么差异？这种差异反映了什么商业模式特点？,Apple 按地理区域划分业务（美洲、欧洲、大中华区等）；Microsoft 更按产品与平台划分业务。Apple 更强调全球消费市场，Microsoft 更强调企业与平台业务结构。,表格 + 业务结构,,,table;text,原编号：Q004；证据位置：Apple Segments 表；Microsoft business structure；证据链说明：对比业务分部表的划分逻辑，分析商业模式差异。
FIN005,金融类,NVIDIA 与 Microsoft 在 AI 基础设施扩张方面分别披露了哪些量化指标？,Microsoft 披露 Azure 收入达到 750 亿美元，并新增超过 2GW 数据中心容量；NVIDIA 则强调 Blackwell 平台、超大规模 GPU 集群以及覆盖全球 CSP 的 AI 基础设施。,表格 + 数据指标,,,table;text,原编号：Q005；证据位置：Microsoft AI infrastructure；NVIDIA Data Center；证据链说明：需要从不同公司年报中提取 AI 基础设施相关量化数据并比较。
FIN006,金融类,Apple 与 NVIDIA 在业务风险中都提到了哪些供应链问题？这些问题如何通过表格或业务说明体现？,Apple 提到关键组件可能来自单一供应商，并受到行业性短缺影响；NVIDIA 的 AI 芯片和数据中心产品也依赖复杂供应链与先进制造能力。两家公司都面临供应链集中风险。,风险说明 + 业务表格,,,table;text,原编号：Q006；证据位置：Apple Supply of Components；NVIDIA Risk/Data Center；证据链说明：从供应链描述与业务结构中总结共同风险。
FIN007,金融类,Microsoft 与 Apple 在收入来源结构上有哪些不同？,Microsoft 的收入高度依赖云服务、AI 平台和企业软件；Apple 的收入则来自硬件产品与服务生态。Apple 更偏消费电子，Microsoft 更偏企业软件与云计算。,表格 + 产品结构,,,table;text,原编号：Q007；证据位置：Apple Products/Services；Microsoft Revenue/Azure；证据链说明：需要结合产品分类与收入描述进行综合分析。
FIN008,金融类,NVIDIA、Apple 和 Microsoft 在年报中分别如何体现“平台生态”战略？请结合业务表格与产品分类说明。,NVIDIA 通过 CUDA、GPU 与 AI 基础设施形成开发者平台；Microsoft 通过 Azure 与 Copilot 建立 AI 平台；Apple 通过 iPhone、Mac、App Store 和服务构建终端生态平台。,表格 + 产品体系,,,table;text,原编号：Q008；证据位置：NVIDIA platform；Microsoft Copilot/Azure；Apple Products & Services；证据链说明：需要跨三个文档整合平台类业务结构。
FIN009,金融类,Microsoft 和 NVIDIA 的 AI 客户覆盖范围分别有哪些特点？,NVIDIA 覆盖 CSP、AI 模型公司、科研机构和企业；Microsoft 覆盖 Fortune 500、教育、医疗、银行等行业客户。NVIDIA 更偏底层算力客户，Microsoft 更偏应用层企业客户。,表格 + 客户案例,,,table;text,原编号：Q009；证据位置：NVIDIA customers；Microsoft customer examples；证据链说明：通过客户类别与行业案例进行交叉分析。
FIN010,金融类,Apple 与 Microsoft 在全球市场布局上分别有哪些重点区域？从业务分部表中能得到什么结论？,Apple 明确划分美洲、欧洲、大中华区、日本等区域；Microsoft 更强调全球 70 多个区域的数据中心覆盖。Apple 更强调消费市场区域收入，Microsoft 更强调全球云服务基础设施。,地区表格 + 全球布局,,,table;text,原编号：Q010；证据位置：Apple Segments；Microsoft datacenter regions；证据链说明：需要结合地区分部与全球基础设施数据进行总结。
FIN011,金融类,Microsoft、Apple 与 NVIDIA 的年报中，哪些业务最能体现 AI 带来的增长机会？请结合业务表格与产品说明回答。,NVIDIA 的数据中心与 AI GPU，Microsoft 的 Azure 与 Copilot，Apple 的服务与终端 AI 生态均体现 AI 增长机会。其中 NVIDIA 最偏底层算力，Microsoft 偏 AI 云平台，Apple 偏终端生态应用。,表格 + 产品说明,,,table;text,原编号：Q011；证据位置：NVIDIA Data Center；Microsoft Azure/Copilot；Apple Services；证据链说明：综合产品分类、业务结构和 AI 战略形成对比结论。
FIN012,金融类,Apple、Microsoft 与 NVIDIA 在年报中分别如何描述未来技术方向？这些方向之间有什么联系？,NVIDIA 强调 agentic AI 与 AI 基础设施；Microsoft 强调 Copilot、Agent 与量子计算；Apple 强调智能终端、服务和生态整合。三家公司共同指向 AI 驱动的新一代平台化计算。,文本 + 产品路线,,,text;table,原编号：Q012；证据位置：NVIDIA Blackwell/Rubin；Microsoft AI innovation；Apple Products/Services；证据链说明：需要结合不同文档中的未来产品路线进行综合推断。
FIN013,金融类,NVIDIA 数据中心业务、Microsoft Azure 云业务、Apple 服务业务分别体现了怎样的增长趋势？请结合三家公司财务表格中的收入数据分析。,NVIDIA 数据中心收入快速增长，成为核心业务；Microsoft Azure 收入同比增长并突破 750 亿美元；Apple 服务业务持续增长并提升整体利润结构。三家公司都在从传统硬件/软件向 AI 与服务化收入转型。,财务表格 + 文本,,,table;text,原编号：Q001；证据位置：NVIDIA Data Center Revenue 表；Microsoft Azure Revenue 表；Apple Net Sales by Product/Service 表；证据链说明：需要分别读取三家公司收入表，再比较增长来源与业务结构变化。
FIN014,金融类,Apple 的地区收入表与 Microsoft 全球数据中心布局信息共同反映了什么全球化趋势？,Apple 的收入高度依赖全球市场，尤其是美洲、欧洲和大中华区；Microsoft 在 70 多个区域部署数据中心。两家公司都依赖全球化市场与基础设施，但 Apple 偏消费市场，Microsoft 偏云基础设施。,地区收入表 + 全球布局图表,,,table;text,原编号：Q002；证据位置：Apple Net Sales by Reportable Segment；Microsoft Datacenter Regions；证据链说明：结合 Apple 的地区收入表与 Microsoft 的全球基础设施布局进行分析。
FIN015,金融类,NVIDIA 与 Microsoft 在 AI 基础设施投入上分别体现在哪些表格或数据指标中？,NVIDIA 的数据中心业务收入与 AI GPU 平台扩张体现 AI 基础设施需求；Microsoft 则通过 Azure 收入、数据中心容量和 AI Foundry 用户规模体现 AI 云投入。,财务表格 + 指标数据,,,table;text,原编号：Q003；证据位置：NVIDIA Segment Revenue 表；Microsoft Azure/AI metrics 表；证据链说明：需要跨文档提取 AI 相关量化指标并比较。
FIN016,金融类,Apple、Microsoft 和 NVIDIA 的业务分部结构有什么差异？这种差异如何反映它们的商业模式？,NVIDIA 以 Compute & Networking 和 Graphics 为主；Apple 以产品和地区销售为主；Microsoft 以云服务、生产力与智能云为核心。NVIDIA 偏 AI 算力平台，Apple 偏消费电子生态，Microsoft 偏企业云服务。,分部表格 + 业务说明,,,table;text,原编号：Q004；证据位置：NVIDIA Segment 表；Apple Segment 表；Microsoft Business Segment 表；证据链说明：通过业务分部表对比三家公司收入组织方式。
FIN017,金融类,Apple 产品收入结构与 NVIDIA 数据中心收入结构相比，有什么明显差异？,Apple 收入仍以 iPhone 等硬件产品为主，服务业务占比提升；NVIDIA 数据中心业务已经成为最核心收入来源。Apple 更偏消费终端，NVIDIA 更偏企业 AI 基础设施。,产品收入表 + 分部收入表,,,table;text,原编号：Q005；证据位置：Apple Product Revenue 表；NVIDIA Segment Revenue 表；证据链说明：需要对不同类型收入结构进行跨文档比较。
FIN018,金融类,Microsoft 与 Apple 的现金回报策略分别体现在哪些财务表格中？它们有哪些共同点？,Microsoft 披露了股票回购金额和剩余授权额度；Apple 在现金流与股东权益表中持续体现分红与回购。两家公司都通过资本回报增强投资者信心。,回购表 + 现金流表,,,table;text,原编号：Q006；证据位置：Microsoft Share Repurchase 表；Apple Capital Return/Cash Flow 表；证据链说明：综合股东回报相关财务表进行分析。
