"question_id","question_type","question","demo_angle","acceptable_gold_node_ids","acceptable_gold_pages","acceptable_gold_modalities","evidence_note"
"FIN003","表格 + 财务文本","Apple 与 Microsoft 在股东回报方面分别采用了哪些方式？请结合表格中的回购计划分析。","展示跨公司股东回报对比：Microsoft 回购计划 + Apple 现金回报。","TB_FIN_02_Microsoft_Annual_Report_64_1;TB_FIN_02_Microsoft_Annual_Report_64_2;T_FIN_03_Apple_10K_22_1;T_FIN_03_Apple_10K_36_2","6;64;65;22;35;36","table;text","原编号：Q003；证据位置：Microsoft Share Repurchase 表；Apple Equity Securities；证据链说明：结合 Microsoft 的回购金额表和 Apple 的股东权益相关披露分析。"
"FIN005","表格 + 数据指标","NVIDIA 与 Microsoft 在 AI 基础设施扩张方面分别披露了哪些量化指标？","展示 AI 基础设施扩张：Microsoft Azure/数据中心 + NVIDIA Data Center。","T_FIN_02_Microsoft_Annual_Report_25_2;T_FIN_02_Microsoft_Annual_Report_24_1;T_FIN_01_NVIDIA_10K_5_5;T_FIN_01_NVIDIA_10K_4_1","2;3;10;12;13;22;23;24;25;71;4;5;6;7;9;81","table;text","原编号：Q005；证据位置：Microsoft AI infrastructure；NVIDIA Data Center；证据链说明：需要从不同公司年报中提取 AI 基础设施相关量化数据并比较。"
"FIN006","风险说明 + 业务表格","Apple 与 NVIDIA 在业务风险中都提到了哪些供应链问题？这些问题如何通过表格或业务说明体现？","展示供应链风险归纳：Apple 组件供应 + NVIDIA 高端制造依赖。","T_FIN_03_Apple_10K_11_5;T_FIN_03_Apple_10K_11_6;T_FIN_01_NVIDIA_10K_5_5;T_FIN_01_NVIDIA_10K_4_1","11;12;4;5;6;7;9;81","table;text","原编号：Q006；证据位置：Apple Supply of Components；NVIDIA Risk/Data Center；证据链说明：从供应链描述与业务结构中总结共同风险。"
"FIN009","表格 + 客户案例","Microsoft 和 NVIDIA 的 AI 客户覆盖范围分别有哪些特点？","展示客户覆盖分析：NVIDIA 算力客户 + Microsoft 企业客户案例。","T_FIN_01_NVIDIA_10K_43_1;T_FIN_01_NVIDIA_10K_80_3;T_FIN_02_Microsoft_Annual_Report_18_2;T_FIN_02_Microsoft_Annual_Report_18_5","5;43;54;80;13;18","table;text","原编号：Q009；证据位置：NVIDIA customers；Microsoft customer examples；证据链说明：通过客户类别与行业案例进行交叉分析。"
"FIN010","地区表格 + 全球布局","Apple 与 Microsoft 在全球市场布局上分别有哪些重点区域？从业务分部表中能得到什么结论？","展示全球布局对比：Apple 地区收入 + Microsoft 数据中心区域。","TB_FIN_03_Apple_10K_50_2;TB_FIN_03_Apple_10K_50_3;T_FIN_02_Microsoft_Annual_Report_2_2;T_FIN_02_Microsoft_Annual_Report_16_1","25;50;2;16;62","table;text","原编号：Q010；证据位置：Apple Segments；Microsoft datacenter regions；证据链说明：需要结合地区分部与全球基础设施数据进行总结。"
"FIN012","文本 + 产品路线","Apple、Microsoft 与 NVIDIA 在年报中分别如何描述未来技术方向？这些方向之间有什么联系？","展示技术路线综合：NVIDIA、Microsoft、Apple 三家公司未来方向。","T_FIN_01_NVIDIA_10K_4_1;T_FIN_01_NVIDIA_10K_4_7;T_FIN_02_Microsoft_Annual_Report_2_1;T_FIN_02_Microsoft_Annual_Report_3_5;T_FIN_03_Apple_10K_5_2;T_FIN_03_Apple_10K_5_1","4;5;6;7;9;81;2;3;10;12;13;22;23;24;25;71;26;27;38","text;table","原编号：Q012；证据位置：NVIDIA Blackwell/Rubin；Microsoft AI innovation；Apple Products/Services；证据链说明：需要结合不同文档中的未来产品路线进行综合推断。"
"FIN013","财务表格 + 文本","NVIDIA 数据中心业务、Microsoft Azure 云业务、Apple 服务业务分别体现了怎样的增长趋势？请结合三家公司财务表格中的收入数据分析。","展示三家公司增长来源：NVIDIA Data Center、Microsoft Azure、Apple Services。","TB_FIN_01_NVIDIA_10K_81_2;TB_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_26_1","81;22;23;24;25;71;4;5;26;27;38","table;text","原编号：Q001；证据位置：NVIDIA Data Center Revenue 表；Microsoft Azure Revenue 表；Apple Net Sales by Product/Service 表；证据链说明：需要分别读取三家公司收入表，再比较增长来源与业务结构变化。"
"FIN015","财务表格 + 指标数据","NVIDIA 与 Microsoft 在 AI 基础设施投入上分别体现在哪些表格或数据指标中？","展示 AI 指标型问答：收入、用户、基础设施等量化证据融合。","TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1;T_FIN_02_Microsoft_Annual_Report_22_2;T_FIN_02_Microsoft_Annual_Report_22_1","79;80;81;2;3;10;12;13;22;23;24;25;71","table;text","原编号：Q003；证据位置：NVIDIA Segment Revenue 表；Microsoft Azure/AI metrics 表；证据链说明：需要跨文档提取 AI 相关量化指标并比较。"
"FIN018","回购表 + 现金流表","Microsoft 与 Apple 的现金回报策略分别体现在哪些财务表格中？它们有哪些共同点？","展示成熟科技公司现金回报：回购、分红、现金流。","TB_FIN_02_Microsoft_Annual_Report_64_1;TB_FIN_02_Microsoft_Annual_Report_64_2;TB_FIN_03_Apple_10K_35_1;TB_FIN_03_Apple_10K_36_1","6;64;65;22;35;36","table;text","原编号：Q006；证据位置：Microsoft Share Repurchase 表；Apple Capital Return/Cash Flow 表；证据链说明：综合股东回报相关财务表进行分析。"
"FIN019","风险表格 + 文本","NVIDIA 与 Apple 在供应链风险方面分别有哪些量化或结构化信息？这些信息说明了什么问题？","展示供应链/先进制造风险：风险文本与结构化证据结合。","T_FIN_03_Apple_10K_11_9;T_FIN_03_Apple_10K_12_9;T_FIN_01_NVIDIA_10K_38_1;TB_FIN_01_NVIDIA_10K_20_1","11;12;16;20;23;28;36;38","table;text","原编号：Q007；证据位置：Apple Supply Components；NVIDIA Risk Factors；证据链说明：从供应链结构和风险描述中建立跨文档联系。"
