"question_id","doc_id","question","answer","question_type","gold_node_ids","gold_pages","gold_modalities","evidence_note"
"FIN003","金融类","Apple 与 Microsoft 在股东回报方面分别采用了哪些方式？请结合表格中的回购计划分析。","Microsoft 明确披露了 600 亿美元股票回购计划，并持续进行股份回购；Apple 长期通过股票回购与分红回馈股东。两家公司均通过资本回报稳定投资者预期。","表格 + 财务文本","TB_FIN_02_Microsoft_Annual_Report_64_1;TB_FIN_02_Microsoft_Annual_Report_64_2;T_FIN_03_Apple_10K_22_1;T_FIN_03_Apple_10K_36_2","6;64;65;22;35;36","table;text","原编号：Q003；证据位置：Microsoft Share Repurchase 表；Apple Equity Securities；证据链说明：结合 Microsoft 的回购金额表和 Apple 的股东权益相关披露分析。"
"FIN005","金融类","NVIDIA 与 Microsoft 在 AI 基础设施扩张方面分别披露了哪些量化指标？","Microsoft 披露 Azure 收入达到 750 亿美元，并新增超过 2GW 数据中心容量；NVIDIA 则强调 Blackwell 平台、超大规模 GPU 集群以及覆盖全球 CSP 的 AI 基础设施。","表格 + 数据指标","T_FIN_02_Microsoft_Annual_Report_25_2;T_FIN_02_Microsoft_Annual_Report_24_1;T_FIN_01_NVIDIA_10K_5_5;T_FIN_01_NVIDIA_10K_4_1","2;3;10;12;13;22;23;24;25;71;4;5;6;7;9;81","table;text","原编号：Q005；证据位置：Microsoft AI infrastructure；NVIDIA Data Center；证据链说明：需要从不同公司年报中提取 AI 基础设施相关量化数据并比较。"
"FIN006","金融类","Apple 与 NVIDIA 在业务风险中都提到了哪些供应链问题？这些问题如何通过表格或业务说明体现？","Apple 提到关键组件可能来自单一供应商，并受到行业性短缺影响；NVIDIA 的 AI 芯片和数据中心产品也依赖复杂供应链与先进制造能力。两家公司都面临供应链集中风险。","风险说明 + 业务表格","T_FIN_03_Apple_10K_11_5;T_FIN_03_Apple_10K_11_6;T_FIN_01_NVIDIA_10K_5_5;T_FIN_01_NVIDIA_10K_4_1","11;12;4;5;6;7;9;81","table;text","原编号：Q006；证据位置：Apple Supply of Components；NVIDIA Risk/Data Center；证据链说明：从供应链描述与业务结构中总结共同风险。"
"FIN009","金融类","Microsoft 和 NVIDIA 的 AI 客户覆盖范围分别有哪些特点？","NVIDIA 覆盖 CSP、AI 模型公司、科研机构和企业；Microsoft 覆盖 Fortune 500、教育、医疗、银行等行业客户。NVIDIA 更偏底层算力客户，Microsoft 更偏应用层企业客户。","表格 + 客户案例","T_FIN_01_NVIDIA_10K_43_1;T_FIN_01_NVIDIA_10K_80_3;T_FIN_02_Microsoft_Annual_Report_18_2;T_FIN_02_Microsoft_Annual_Report_18_5","5;43;54;80;13;18","table;text","原编号：Q009；证据位置：NVIDIA customers；Microsoft customer examples；证据链说明：通过客户类别与行业案例进行交叉分析。"
"FIN010","金融类","Apple 与 Microsoft 在全球市场布局上分别有哪些重点区域？从业务分部表中能得到什么结论？","Apple 明确划分美洲、欧洲、大中华区、日本等区域；Microsoft 更强调全球 70 多个区域的数据中心覆盖。Apple 更强调消费市场区域收入，Microsoft 更强调全球云服务基础设施。","地区表格 + 全球布局","TB_FIN_03_Apple_10K_50_2;TB_FIN_03_Apple_10K_50_3;T_FIN_02_Microsoft_Annual_Report_2_2;T_FIN_02_Microsoft_Annual_Report_16_1","25;50;2;16;62","table;text","原编号：Q010；证据位置：Apple Segments；Microsoft datacenter regions；证据链说明：需要结合地区分部与全球基础设施数据进行总结。"
"FIN012","金融类","Apple、Microsoft 与 NVIDIA 在年报中分别如何描述未来技术方向？这些方向之间有什么联系？","NVIDIA 强调 agentic AI 与 AI 基础设施；Microsoft 强调 Copilot、Agent 与量子计算；Apple 强调智能终端、服务和生态整合。三家公司共同指向 AI 驱动的新一代平台化计算。","文本 + 产品路线","T_FIN_01_NVIDIA_10K_4_1;T_FIN_01_NVIDIA_10K_4_7;T_FIN_02_Microsoft_Annual_Report_2_1;T_FIN_02_Microsoft_Annual_Report_3_5;T_FIN_03_Apple_10K_5_2;T_FIN_03_Apple_10K_5_1","4;5;6;7;9;81;2;3;10;12;13;22;23;24;25;71;26;27;38","text;table","原编号：Q012；证据位置：NVIDIA Blackwell/Rubin；Microsoft AI innovation；Apple Products/Services；证据链说明：需要结合不同文档中的未来产品路线进行综合推断。"
"FIN013","金融类","NVIDIA 数据中心业务、Microsoft Azure 云业务、Apple 服务业务分别体现了怎样的增长趋势？请结合三家公司财务表格中的收入数据分析。","NVIDIA 数据中心收入快速增长，成为核心业务；Microsoft Azure 收入同比增长并突破 750 亿美元；Apple 服务业务持续增长并提升整体利润结构。三家公司都在从传统硬件/软件向 AI 与服务化收入转型。","财务表格 + 文本","TB_FIN_01_NVIDIA_10K_81_2;TB_FIN_01_NVIDIA_10K_81_1;TB_FIN_02_Microsoft_Annual_Report_71_1;TB_FIN_02_Microsoft_Annual_Report_71_2;TB_FIN_03_Apple_10K_38_1;TB_FIN_03_Apple_10K_26_1","81;22;23;24;25;71;4;5;26;27;38","table;text","原编号：Q001；证据位置：NVIDIA Data Center Revenue 表；Microsoft Azure Revenue 表；Apple Net Sales by Product/Service 表；证据链说明：需要分别读取三家公司收入表，再比较增长来源与业务结构变化。"
"FIN015","金融类","NVIDIA 与 Microsoft 在 AI 基础设施投入上分别体现在哪些表格或数据指标中？","NVIDIA 的数据中心业务收入与 AI GPU 平台扩张体现 AI 基础设施需求；Microsoft 则通过 Azure 收入、数据中心容量和 AI Foundry 用户规模体现 AI 云投入。","财务表格 + 指标数据","TB_FIN_01_NVIDIA_10K_81_2;C_FIN_01_NVIDIA_10K_80_1;T_FIN_02_Microsoft_Annual_Report_22_2;T_FIN_02_Microsoft_Annual_Report_22_1","79;80;81;2;3;10;12;13;22;23;24;25;71","table;text","原编号：Q003；证据位置：NVIDIA Segment Revenue 表；Microsoft Azure/AI metrics 表；证据链说明：需要跨文档提取 AI 相关量化指标并比较。"
"FIN018","金融类","Microsoft 与 Apple 的现金回报策略分别体现在哪些财务表格中？它们有哪些共同点？","Microsoft 披露了股票回购金额和剩余授权额度；Apple 在现金流与股东权益表中持续体现分红与回购。两家公司都通过资本回报增强投资者信心。","回购表 + 现金流表","TB_FIN_02_Microsoft_Annual_Report_64_1;TB_FIN_02_Microsoft_Annual_Report_64_2;TB_FIN_03_Apple_10K_35_1;TB_FIN_03_Apple_10K_36_1","6;64;65;22;35;36","table;text","原编号：Q006；证据位置：Microsoft Share Repurchase 表；Apple Capital Return/Cash Flow 表；证据链说明：综合股东回报相关财务表进行分析。"
"FIN019","金融类","NVIDIA 与 Apple 在供应链风险方面分别有哪些量化或结构化信息？这些信息说明了什么问题？","Apple 在供应链章节强调部分关键组件依赖有限供应商；NVIDIA 的 AI 芯片与先进封装同样依赖高端制造能力。两家公司都面临高端芯片供应链集中风险。","风险表格 + 文本","T_FIN_03_Apple_10K_11_9;T_FIN_03_Apple_10K_12_9;T_FIN_01_NVIDIA_10K_38_1;TB_FIN_01_NVIDIA_10K_20_1","11;12;16;20;23;28;36;38","table;text","原编号：Q007；证据位置：Apple Supply Components；NVIDIA Risk Factors；证据链说明：从供应链结构和风险描述中建立跨文档联系。"
